time_step,total_population,resource_concentration,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_15_density,genotype_16_density,genotype_17_density,genotype_18_density,genotype_19_density,mutation_frequency,cooperation_index,competition_index,mean_fitness,mean_resistance,mean_efficiency,biofilm_fraction,hgt_events,divisions,deaths,phase_lag,phase_log,phase_stationary,phase_death,mean_antibiotic,mean_biofilm,cumulative_mutations,cumulative_hgt,total_resource_consumed
1,300,15.25,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581442,0.073883,1.002852,0.0,0,0,0,300,0,0,0,0.0,0.0,0,0,0.0
2,299,15.5,0.334448,0.334448,0.331104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581821,0.073827,1.002895,0.0,0,0,1,299,0,0,0,0.0,0.0,0,0,0.0
3,298,15.75,0.332215,0.33557,0.332215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581951,0.073645,1.002692,0.0,0,0,1,298,0,0,0,0.0,0.0,0,0,0.0
4,297,16.0,0.329966,0.3367,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497088,0.0,0.582224,0.073716,1.002613,1.0,0,0,1,297,0,0,0,0.0,0.0,0,0,0.0
5,295,16.235974,0.325424,0.338983,0.335593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496877,0.0,0.582627,0.073873,1.00276,1.0,0,0,2,0,295,0,0,0.0,0.000369,0,0,802.3745
6,373,16.472035,0.335121,0.327078,0.337802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027936,7e-06,0.460915,0.073942,1.015011,0.0563,0,78,0,78,295,0,0,0.0,0.000386,0,0,1374.6968
7,589,16.708085,0.325976,0.339559,0.334465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018349,0.019404,0.000161,0.370754,0.073741,1.003049,0.039049,0,218,2,296,293,0,0,0.0,0.000392,4,0,1941.2765
8,840,16.944228,0.32381,0.339286,0.334524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00119,0.0,0.0,0.00119,0.0,0.0,0.0,0.01581,0.028385,0.000231,0.407337,0.073803,1.006465,0.057143,0,253,2,547,293,0,0,0.0,0.000403,8,0,2506.4802
9,951,17.180354,0.327024,0.335436,0.335436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001052,0.0,0.0,0.001052,0.0,0.0,0.0,0.0,0.044997,0.000281,0.513526,0.073664,1.007323,0.090431,0,116,5,660,291,0,0,0.0,0.000401,8,0,3065.2521
10,1150,17.416576,0.324348,0.337391,0.336522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00087,0.0,0.0,0.00087,0.0,0.0,0.0,0.014706,0.097421,0.000272,0.481613,0.073356,1.004036,0.195652,0,204,5,859,291,0,0,0.0,0.0004,11,0,3620.033
11,1330,17.648976,0.326316,0.335338,0.336842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000752,0.0,0.0,0.000752,0.0,0.0,0.0,0.01087,0.161307,0.000238,0.503261,0.073537,1.006806,0.32406,0,184,4,965,365,0,0,0.0,0.00049,13,0,4392.0282
12,1716,17.87156,0.324592,0.333916,0.339744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000583,0.0,0.000583,0.000583,0.0,0.0,0.0,0.012723,0.160598,0.000244,0.45148,0.073402,1.008404,0.322844,0,393,7,1140,576,0,0,0.0,0.000763,18,0,5682.271
13,2123,18.082469,0.327367,0.335374,0.335846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000471,0.0,0.000471,0.000471,0.0,0.0,0.0,0.004854,0.128874,0.000318,0.472739,0.07361,1.008103,0.259067,0,412,5,1305,818,0,0,0.0,0.001095,20,0,7484.2832
14,2663,18.287909,0.324446,0.335712,0.337965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000751,0.0,0.000376,0.000751,0.0,0.0,0.0,0.014467,0.111378,0.000426,0.464759,0.073682,1.006741,0.223808,0,553,13,1735,928,0,0,0.0,0.001287,28,0,9413.3859
15,3315,18.48426,0.324284,0.336048,0.337557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000905,0.0,0.000302,0.000905,0.0,0.0,0.0,0.010417,0.127663,0.00053,0.467347,0.073744,1.009437,0.25641,1,672,20,2197,1118,0,0,0.0,0.001585,35,1,11781.0798
